Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Hugo von Hofmannsthal","11740","Das Vermächtnis. Schauspiel in drei Akten","30219","37","Directed","Hugo von Hofmannsthal–Das Vermächtnis. Schauspiel in drei Akten","8"
"Hugo von Hofmannsthal","11740","Neue Freie Presse","36374","36","Directed","Hugo von Hofmannsthal–Neue Freie Presse","1"
"Hugo von Hofmannsthal","11740","Der Ruf des Lebens. Schauspiel in drei Akten","29905","34","Directed","Hugo von Hofmannsthal–Der Ruf des Lebens. Schauspiel in drei Akten","9"
"Hugo von Hofmannsthal","11740","Der Tod Georgs","31535","33","Directed","Hugo von Hofmannsthal–Der Tod Georgs","6"
"Hugo von Hofmannsthal","11740","Lieutenant Gustl. Novelle","29853","31","Directed","Hugo von Hofmannsthal–Lieutenant Gustl. Novelle","5"
"Hugo von Hofmannsthal","11740","Der Graf von Charolais. Ein Trauerspiel","30233","31","Directed","Hugo von Hofmannsthal–Der Graf von Charolais. Ein Trauerspiel","5"
"Hugo von Hofmannsthal","11740","Das weite Land. Tragikomödie in fünf Akten","30207","30","Directed","Hugo von Hofmannsthal–Das weite Land. Tragikomödie in fünf Akten","7"
"Hugo von Hofmannsthal","11740","Frau Bertha Garlan. Roman","30486","30","Directed","Hugo von Hofmannsthal–Frau Bertha Garlan. Roman","9"
"Hugo von Hofmannsthal","11740","Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","32562","28","Directed","Hugo von Hofmannsthal–Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","4"
"Hugo von Hofmannsthal","11740","Zwischenspiel. Komödie in drei Akten","29903","26","Directed","Hugo von Hofmannsthal–Zwischenspiel. Komödie in drei Akten","9"
"Hugo von Hofmannsthal","11740","Abschiedssouper","30005","23","Directed","Hugo von Hofmannsthal–Abschiedssouper","2"
"Hugo von Hofmannsthal","11740","Die Zeit","35935","22","Directed","Hugo von Hofmannsthal–Die Zeit","1"
"Hugo von Hofmannsthal","11740","Die kleine Komödie","31975","19","Directed","Hugo von Hofmannsthal–Die kleine Komödie","4"
"Hugo von Hofmannsthal","11740","Freie Bühne für den Entwickelungskampf der Zeit","36166","19","Directed","Hugo von Hofmannsthal–Freie Bühne für den Entwickelungskampf der Zeit","2"
"Hugo von Hofmannsthal","11740","Professor Bernhardi. Komödie in fünf Akten","30203","18","Directed","Hugo von Hofmannsthal–Professor Bernhardi. Komödie in fünf Akten","3"
"Hugo von Hofmannsthal","11740","Literatur","29869","16","Directed","Hugo von Hofmannsthal–Literatur","1"
"Eduard Michael Kafka","2563","Anatol","29935","96","Directed","Eduard Michael Kafka–Anatol","6"
"Eduard Michael Kafka","2563","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Eduard Michael Kafka–Das Märchen. Schauspiel in drei Aufzügen","3"
"Eduard Michael Kafka","2563","Sterben. Novelle","30117","52","Directed","Eduard Michael Kafka–Sterben. Novelle","1"
"Eduard Michael Kafka","2563","Abschiedssouper","30005","23","Directed","Eduard Michael Kafka–Abschiedssouper","1"
"Karl Kraus","11988","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Karl Kraus–Der Schleier der Beatrice. Schauspiel in fünf Akten","2"
"Karl Kraus","11988","Anatol","29935","96","Directed","Karl Kraus–Anatol","8"
"Karl Kraus","11988","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Karl Kraus–Das Märchen. Schauspiel in drei Aufzügen","4"
"Karl Kraus","11988","Neue Freie Presse","36374","36","Directed","Karl Kraus–Neue Freie Presse","1"
"Karl Kraus","11988","Abschiedssouper","30005","23","Directed","Karl Kraus–Abschiedssouper","3"
